user_id,asin,overall
A3TLFFGO88RXWZ,65,5.0
AAQO19HKS86MQ,84,4.0
AYO765T1ZJI44,403,5.0
AHAINV8V9AE33,479,5.0
A3FOL5CECUQJKV,479,5.0
AQG16QCMT344N,582,5.0
A1VB8MXR5BES1P,659,5.0
A1KPFFU7NOVNCY,689,3.0
A2K87NNS3ZTQE0,689,5.0
A2ELQSSBI7KHGQ,848,5.0
A2Y1V6HBUCGK23,848,5.0
AI6ZZMHUA933D,848,4.0
AI6ZZMHUA933D,848,3.0
A2EYE86FIXQD9E,848,1.0
A35DLVNGA4WPBO,848,4.0
A2ZSX6R0TL8ET6,848,5.0
A2647B95D52N17,861,3.0
AWBGHDHH7E51F,898,2.0
A1D3O4L9AB1WGY,1078,2.0
AAC2BU2V9X95K,1078,5.0
A1SOK8839DJENL,1078,3.0
A17EOTC7REOQKA,1078,3.0
A2A133Y3SWMAGR,1125,5.0
AS4U0HUU72NI1,1125,5.0
A2ACIIG70P29L3,1125,4.0
A1DU6H3WIN1G0T,1125,1.0
A1FY4RR0LGCJ0Q,1125,5.0
AI8B0Z345O9N6,1318,3.0
A2ZN3Z5U9TV4C,1379,4.0
A33ZQAI5SUB533,1379,5.0
A23U3I8QBSFPD0,1379,5.0
AA6GGUF4C86FN,1379,5.0
A34SGUY6AK5SB1,1379,5.0
A2N7SARK4M4JWJ,1379,5.0
A1YQ5E72DJSZHJ,1379,5.0
A35005P9TLM9LN,1379,5.0
A1LVX62837JZB3,1379,4.0
A2ZN3Z5U9TV4C,1380,4.0
A33ZQAI5SUB533,1380,5.0
A23U3I8QBSFPD0,1380,5.0
AA6GGUF4C86FN,1380,5.0
A34SGUY6AK5SB1,1380,5.0
A2N7SARK4M4JWJ,1380,5.0
A1YQ5E72DJSZHJ,1380,5.0
A35005P9TLM9LN,1380,5.0
A1LVX62837JZB3,1380,4.0
A190EU3G5R01EF,1395,4.0
AI757Z7LWG3AS,1829,5.0
A3LOAWGFIPZKY,1829,2.0
A3Y15MFKAKJR3,2077,2.0
A3Y15MFKAKJR3,2077,5.0
